,E.XX,MML_STRESS_GUESS_XX,MML_STRESS_GUESS_YY,MML_STRESS_GUESS_ZZ,DELTA_EXX,DELTA_EYY,DELTA_EZZ,TRIAL_STRESS_PRE_TRANS_XX,TRIAL_STRESS_PRE_TRANS_YY,TRIAL_STRESS_PRE_TRANS_ZZ,DELTA_SXX,DELTA_SYY,DELTA_SZZ,TRIAL_STRESS_POST_TRANS_XX,TRIAL_STRESS_POST_TRANS_YY,TRIAL_STRESS_POST_TRANS_ZZ,CONV_STRESS_ISO_XX,CONV_STRESS_ISO_YY,CONV_STRESS_ISO_ZZ,FICT_SXX,FICT_SYY,FICT_SZZ,FICT_EP_XX,FICT_EP_YY,FICT_EP_ZZ,REAL_EP_XX,REAL_EP_YY,REAL_EP_ZZ,S.XX,S.YY,S.ZZ,S.YZ,S.XZ,S.XY,S.VM
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0005,0.0,0.0,0.0,0.0005,-0.0002491649999999663,-0.00024916499999992403,3763.4283570900934,-1856.714178543563,-1856.7141785432461,3763.4283570900934,-1856.714178543563,-1856.7141785432461,3763.4283570900934,-1856.714178543563,-1856.7141785432461,50.00000000045418,4.5220716060612176e-10,4.5220893696296116e-10,50.00000000045418,4.5220716060612176e-10,4.5220893696296116e-10,0.0004949999999999847,-0.0002474999999999924,-0.0002474999999999924,0.0004949999999999849,-0.0002474999999999924,-0.0002474999999999924,50.00000000045418,4.5220716060612176e-10,4.5220893696296116e-10,0.0,0.0,0.0,50.000000000001975
2,0.001,50.00000000045418,4.5220716060612176e-10,4.5220893696296116e-10,0.0005,-0.00024999999999998103,-0.00024999999999993793,3800.9377344346694,-1875.4688672156037,-1875.4688672152804,3750.937734434215,-1875.468867216056,-1875.4688672157326,3800.9377344346694,-1875.4688672156037,-1875.4688672152804,50.00000000164306,1.6398757907154504e-09,1.6398757907154504e-09,50.00000000164306,1.6398757907154504e-09,1.6398757907154504e-09,0.0009949999999999447,-0.0004974999999999725,-0.0004974999999999725,0.0009949999999999451,-0.0004974999999999725,-0.0004974999999999725,50.00000000164306,1.6398757907154504e-09,1.6398757907154504e-09,0.0,0.0,0.0,50.00000000000318
3,0.0015,50.00000000164306,1.6398757907154504e-09,1.6398757907154504e-09,0.0005,-0.00024999999999988264,-0.0002499999999998938,3800.9377344369245,-1875.468867212612,-1875.4688672126956,3750.9377344352815,-1875.4688672142518,-1875.4688672143354,3800.9377344369245,-1875.468867212612,-1875.4688672126956,50.00000000380335,3.802608006253649e-09,3.80260622989681e-09,50.00000000380335,3.802608006253649e-09,3.80260622989681e-09,0.0014949999999998725,-0.0007474999999999365,-0.0007474999999999364,0.0014949999999998732,-0.0007474999999999364,-0.0007474999999999364,50.00000000380335,3.802608006253649e-09,3.80260622989681e-09,0.0,0.0,0.0,50.00000000000074
4,0.002,50.00000000380335,3.802608006253649e-09,3.80260622989681e-09,0.0005,-0.0002499999999999364,-0.0002499999999999187,3800.937734438496,-1875.468867211441,-1875.468867211308,3750.9377344346926,-1875.4688672152436,-1875.4688672151105,3800.937734438496,-1875.468867211441,-1875.468867211308,50.00000000400138,3.998987807563026e-09,3.998989583919865e-09,50.00000000400138,3.998987807563026e-09,3.998989583919865e-09,0.0019949999999998654,-0.000997499999999933,-0.000997499999999933,0.0019949999999998662,-0.000997499999999933,-0.000997499999999933,50.00000000400138,3.998987807563026e-09,3.998989583919865e-09,0.0,0.0,0.0,50.00000000000239
5,0.0025,50.00000000400138,3.998987807563026e-09,3.998989583919865e-09,0.0005,-0.0002499999999999069,-0.00024999999999995154,3800.937734438669,-1875.4688672110483,-1875.468867211383,3750.9377344346676,-1875.4688672150473,-1875.468867215382,3800.937734438669,-1875.4688672110483,-1875.468867211383,50.000000006703765,6.7062622122193716e-09,6.698130050608597e-09,50.000000006703765,6.7062622122193716e-09,6.698130050608597e-09,0.002494999999999775,-0.001247499999999833,-0.001247499999999943,0.0024949999999997765,-0.001247499999999833,-0.001247499999999943,50.000000006703765,6.7062622122193716e-09,6.698130050608597e-09,0.0,0.0,0.0,50.00000000000156
6,0.003,50.000000006703765,6.7062622122193716e-09,6.698130050608597e-09,0.0005,-0.000250000000000093,-0.0002500000000001142,3800.937734438763,-1875.4688672123455,-1875.4688672125126,3750.937734432059,-1875.4688672190516,-1875.4688672192108,3800.937734438763,-1875.4688672123455,-1875.4688672125126,50.00000000606265,6.058648693851865e-09,6.058650470208704e-09,50.00000000606265,6.058648693851865e-09,6.058650470208704e-09,0.002994999999999797,-0.0014974999999998434,-0.0014974999999999544,0.002994999999999798,-0.0014974999999998431,-0.0014974999999999544,50.00000000606265,6.058648693851865e-09,6.058650470208704e-09,0.0,0.0,0.0,50.000000000004
7,0.0034999999999999996,50.00000000606265,6.058648693851865e-09,6.058650470208704e-09,0.0005,-0.0002499999999999282,-0.0002499999999999943,3800.937734440251,-1875.468867209627,-1875.4688672101233,3750.9377344341883,-1875.4688672156856,-1875.468867216182,3800.937734440251,-1875.468867209627,-1875.4688672101233,50.00000000589873,5.897966559587076e-09,5.896342969435864e-09,50.00000000589873,5.897966559587076e-09,5.896342969435864e-09,0.0034949999999998012,-0.0017474999999998455,-0.0017474999999999566,0.003494999999999803,-0.0017474999999998453,-0.0017474999999999563,50.00000000589873,5.897966559587076e-09,5.896342969435864e-09,0.0,0.0,0.0,50.00000000000157
8,0.004,50.00000000589873,5.897966559587076e-09,5.896342969435864e-09,0.0005,-0.00025000000000001594,-0.0002499999999999302,3800.937734439911,-1875.4688672106229,-1875.4688672099812,3750.9377344340123,-1875.468867216521,-1875.4688672158775,3800.937734439911,-1875.4688672106229,-1875.4688672099812,50.00000000645542,6.453053202903902e-09,6.453053202903902e-09,50.00000000645542,6.453053202903902e-09,6.453053202903902e-09,0.003994999999999783,-0.001997499999999836,-0.0019974999999999477,0.003994999999999784,-0.001997499999999836,-0.0019974999999999477,50.00000000645542,6.453053202903902e-09,6.453053202903902e-09,0.0,0.0,0.0,50.00000000000237
9,0.0045000000000000005,50.00000000645542,6.453053202903902e-09,6.453053202903902e-09,0.0005,-0.0002499999999999473,-0.0002499999999999811,3800.9377344406003,-1875.4688672094205,-1875.4688672096738,3750.9377344341447,-1875.4688672158736,-1875.468867216127,3800.9377344406003,-1875.4688672094205,-1875.4688672096738,50.00000000763052,7.63139595960638e-09,7.631397735963219e-09,50.00000000763052,7.63139595960638e-09,7.631397735963219e-09,0.004494999999999744,-0.002247499999999817,-0.002247499999999928,0.004494999999999746,-0.002247499999999817,-0.002247499999999928,50.00000000763052,7.63139595960638e-09,7.631397735963219e-09,0.0,0.0,0.0,49.99999999999912
10,0.005,50.00000000763052,7.63139595960638e-09,7.631397735963219e-09,0.0005,-0.0002500000000000791,-0.00025000000000006473,3800.9377344401637,-1875.4688672108418,-1875.4688672107343,3750.937734432533,-1875.4688672184732,-1875.4688672183656,3800.9377344401637,-1875.4688672108418,-1875.4688672107343,50.00000000690339,6.904262050966281e-09,6.9042638273231205e-09,50.00000000690339,6.904262050966281e-09,6.9042638273231205e-09,0.004994999999999768,-0.002497499999999829,-0.00249749999999994,0.0049949999999997705,-0.002497499999999829,-0.00249749999999994,50.00000000690339,6.904262050966281e-09,6.9042638273231205e-09,0.0,0.0,0.0,49.999999999999126
